address,address_lower,to_is_contract
0x1cc7047E15825F639E0752Eb1b89E4225F5327F2,0x1cc7047e15825f639e0752eb1b89e4225f5327f2,True
0x1CF48E2ba68c71B3b78AEB8717719a1F4413bF2d,0x1cf48e2ba68c71b3b78aeb8717719a1f4413bf2d,True
0x1d3682b5E926ea62d42De7853199155f88CE0A9d,0x1d3682b5e926ea62d42de7853199155f88ce0a9d,True
0x1d596D28A7923a22aA013b0e7082bbA23DAA656b,0x1d596d28a7923a22aa013b0e7082bba23daa656b,True
0x1d9619E10086FdC1065B114298384aAe3F680CC0,0x1d9619e10086fdc1065b114298384aae3f680cc0,True
0x1DAe28D7007703196d6f456e810F67C33b51b25C,0x1dae28d7007703196d6f456e810f67c33b51b25c,True
0x1DEd2d5BB13205833A7Ad2C65E28c578a172B5AE,0x1ded2d5bb13205833a7ad2c65e28c578a172b5ae,True
0x1E7866B5A5A4F09EfD235D28d49568c2Fe2F7EcD,0x1e7866b5a5a4f09efd235d28d49568c2fe2f7ecd,True
0x1f2F10D1C40777AE1Da742455c65828FF36Df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,True
0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,True
0x203e2349666C08a538266AFAed434B388E01a657,0x203e2349666c08a538266afaed434b388e01a657,True
0x2161c88DC5A5B82e4988661bE66AD95edef3C3f2,0x2161c88dc5a5b82e4988661be66ad95edef3c3f2,True
0x22514fFb0d7232a56F0c24090E7B68f179FAA940,0x22514ffb0d7232a56f0c24090e7b68f179faa940,True
0x2255daE0D573fc1d532336772381264a417D281C,0x2255dae0d573fc1d532336772381264a417d281c,True
